"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964251259864830121","Sat Sep 06 08:56:09 +0000 2025","0","Dituding Danai Demo DPR Berikut Sumber Kekayaan Raja Minyak Riza Chalid yang Jadi Tersangka Korupsi Pertamina https://t.co/tbAaaa1RLT","1964251259864830121","","","in","","0","0","0","https://x.com/undefined/status/1964251259864830121","788744100",
"1964251052477383162","Sat Sep 06 08:55:19 +0000 2025","28"," Ketika terjadi demo mahasiswa UGM Prof Dr. dr. Ova emilia dipanggil dan dinasihati presiden supaya jujur apa adanya. Jadi gerakan ke eksekutif dan DPR nanti kita lanjutkan (Roy Suryo) #JokowiBebanBangsa #JokowiBebanBangsa https://t.co/zHRPDzrdQk","1964251052477383162","https://pbs.twimg.com/amplify_video_thumb/1964250966930444293/img/x8CemSgv50XtAIGa.jpg","","in","","0","1","12","https://x.com/undefined/status/1964251052477383162","1604064608913723394",
"1964248885007675719","Sat Sep 06 08:46:42 +0000 2025","1","dibaca lagi pas bagian Biaya Peningkatan Komunikasi intensif dgn masyarakat ampe 20jt ntar klo ada demo trs nih DPR gak nongol GEBUG AJA GEBUG","1964248885007675719","","","in","","0","0","0","https://x.com/undefined/status/1964248885007675719","357397169",
"1964154123957285228","Sat Sep 06 08:39:41 +0000 2025","1","@regar_op0sisi NEGERI DAGELAN! SDH BANYAK DIPERTONTONKAN SEMISAL PARA MENTERI HINGGA DPR/MPR DTG KE SOLO MENEMUI JOKOWI. INI MENUNJUKKAN LEGITIMASI PEMERINTAHAN PRESIDEN @prabowo DIPERTANYAKAN. HINGGA KLIMAKSNYA PERISTIWA DEMO DPR KMRN MEMBENARKAN ADANYA KEKUASAAN MATAHARI KEMBAR. ANCURRR..","1964247117695742454","","regar_op0sisi","in","","0","0","1","https://x.com/undefined/status/1964247117695742454","1429040840932872193",
"1964244857121026102","Sat Sep 06 08:30:42 +0000 2025","0","[SALAH] 10 Brimob Tewas Dalam Pengamanan Demo Akun tiktok yongkaibluee pada Senin (01/09/2025) mengunggah Video [arsip] disertai takarir: Ojol dilindes koar-koar Brimob tewas 10 orang pura-pura buta sebenarnya yang dilawan DPR apa POLISI? https://t.co/kNlbaqXQrl","1964244857121026102","https://pbs.twimg.com/media/G0JmSBdbUAMnTYZ.jpg","","in","","0","0","0","https://x.com/undefined/status/1964244857121026102","1231810190678192129",
"1964192128541614536","Sat Sep 06 08:08:12 +0000 2025","0","@peachyjeyya AU demo endingnya dpr kebakaran mah gapapa","1964239196337438788","","peachyjeyya","in","","0","1","0","https://x.com/undefined/status/1964239196337438788","1646469648",
"1963964036699013143","Sat Sep 06 08:07:27 +0000 2025","0","@ribkadel @BBCIndonesia Kalo demo lagi bawa tai taruh kantong plastik. Lemparin gedung DPR/MPR pake itu.","1964239004292821448","","ribkadel","in","","0","0","0","https://x.com/undefined/status/1964239004292821448","226903858",
"1964238373029368175","Sat Sep 06 08:04:56 +0000 2025","0","Pasca Demo Ricuh DPR Plaza Senayan Kembali Diserbu Pengunjung Toko Barang Branded Kembali Memajang Produk Usai Takut Dijarah Massa! https://t.co/g5qPkuVYu5","1964238373029368175","","","in","","0","0","0","https://x.com/undefined/status/1964238373029368175","1550413916135514113",
"1964237793703464988","Sat Sep 06 08:02:38 +0000 2025","0","Sm aja Sudah bener org2 DPR dn SMI dijadikan sasaran demo tuh","1964237793703464988","","","in","","0","0","0","https://x.com/undefined/status/1964237793703464988","1319516701956870144",
"1964237426794140135","Sat Sep 06 08:01:10 +0000 2025","2","Kemensos Salurkan Santunan Untuk Korban Demo #ONEPIECE #SaveRajaAmpat #TWICE_AT_LOLLAPALOOZA #AmnestiDanPolitik #TWICEPALOOZA #HideAndSis #GMMTV #zonauang #JossGawinFanday23xMANILA Gedung DPR RI https://t.co/cp5zFBMcHP","1964237426794140135","https://pbs.twimg.com/ext_tw_video_thumb/1964237296963903488/pu/img/tU6G8OFrN8sK0STN.jpg","","in","","0","0","0","https://x.com/undefined/status/1964237426794140135","1576893991567515649",
